toros_field_id ra dec l b program exposure_time cadence ephemeris period observations moon_phase
07.025 302.727 -81.146 312.536 -29.809 main_survey 300.000 1 0 0 0 0
07.026 310.909 -81.146 312.050 -30.995 main_survey 300.000 1 0 0 0 0
07.027 319.091 -81.146 311.360 -32.108 main_survey 300.000 1 0 0 0 0
07.028 327.273 -81.146 310.475 -33.122 main_survey 300.000 1 0 0 0 0
07.029 335.455 -81.146 309.408 -34.012 main_survey 300.000 1 0 0 0 0
07.02a 343.636 -81.146 308.180 -34.757 main_survey 300.000 1 0 0 0 0
07.02b 351.818 -81.146 306.816 -35.338 main_survey 300.000 1 0 0 0 0
08.000 3.529 -79.881 304.978 -37.098 main_survey 300.000 1 0 0 0 0
08.001 10.588 -79.881 303.433 -37.238 main_survey 300.000 1 0 0 0 0
08.002 17.647 -79.881 301.877 -37.208 main_survey 300.000 1 0 0 0 0
08.003 24.706 -79.881 300.343 -37.008 main_survey 300.000 1 0 0 0 0
08.004 31.765 -79.881 298.864 -36.642 main_survey 300.000 1 0 0 0 0
08.005 38.824 -79.881 297.468 -36.120 main_survey 300.000 1 0 0 0 0
08.006 45.882 -79.881 296.182 -35.450 main_survey 300.000 1 0 0 0 0
08.007 52.941 -79.881 295.028 -34.648 main_survey 300.000 1 0 0 0 0
08.008 60.000 -79.881 294.024 -33.728 main_survey 300.000 1 0 0 0 0
08.009 67.059 -79.881 293.182 -32.708 main_survey 300.000 1 0 0 0 0
08.00a 74.118 -79.881 292.511 -31.606 main_survey 300.000 1 0 0 0 0
08.00b 81.176 -79.881 292.016 -30.442 main_survey 300.000 1 0 0 0 0
08.00c 88.235 -79.881 291.698 -29.233 main_survey 300.000 1 0 0 0 0
08.00d 95.294 -79.881 291.556 -28.000 main_survey 300.000 1 0 0 0 0
08.00e 102.353 -79.881 291.584 -26.761 main_survey 300.000 1 0 0 0 0
08.00f 109.412 -79.881 291.778 -25.534 main_survey 300.000 1 0 0 0 0
08.010 116.471 -79.881 292.130 -24.336 main_survey 300.000 1 0 0 0 0
08.011 123.529 -79.881 292.631 -23.185 main_survey 300.000 1 0 0 0 0
08.012 130.588 -79.881 293.270 -22.095 main_survey 300.000 1 0 0 0 0
08.013 137.647 -79.881 294.036 -21.081 main_survey 300.000 1 0 0 0 0
08.014 144.706 -79.881 294.918 -20.156 main_survey 300.000 1 0 0 0 0
08.015 151.765 -79.881 295.902 -19.333 main_survey 300.000 1 0 0 0 0
08.016 158.824 -79.881 296.976 -18.621 main_survey 300.000 1 0 0 0 0
08.017 165.882 -79.881 298.124 -18.032 main_survey 300.000 1 0 0 0 0
08.018 172.941 -79.881 299.332 -17.571 main_survey 300.000 1 0 0 0 0
08.019 180.000 -79.881 300.585 -17.244 main_survey 300.000 1 0 0 0 0
08.01a 187.059 -79.881 301.868 -17.057 main_survey 300.000 1 0 0 0 0
08.01b 194.118 -79.881 303.163 -17.012 main_survey 300.000 1 0 0 0 0
08.01c 201.176 -79.881 304.456 -17.108 main_survey 300.000 1 0 0 0 0
08.01d 208.235 -79.881 305.729 -17.345 main_survey 300.000 1 0 0 0 0
08.01e 215.294 -79.881 306.968 -17.720 main_survey 300.000 1 0 0 0 0
08.01f 222.353 -79.881 308.157 -18.227 main_survey 300.000 1 0 0 0 0
08.020 229.412 -79.881 309.280 -18.862 main_survey 300.000 1 0 0 0 0
08.021 236.471 -79.881 310.324 -19.614 main_survey 300.000 1 0 0 0 0
08.022 243.529 -79.881 311.273 -20.474 main_survey 300.000 1 0 0 0 0
08.023 250.588 -79.881 312.115 -21.432 main_survey 300.000 1 0 0 0 0
08.024 257.647 -79.881 312.837 -22.475 main_survey 300.000 1 0 0 0 0
08.025 264.706 -79.881 313.428 -23.589 main_survey 300.000 1 0 0 0 0
08.026 271.765 -79.881 313.877 -24.759 main_survey 300.000 1 0 0 0 0
08.027 278.824 -79.881 314.173 -25.969 main_survey 300.000 1 0 0 0 0
08.028 285.882 -79.881 314.309 -27.203 main_survey 300.000 1 0 0 0 0
08.029 292.941 -79.881 314.277 -28.442 main_survey 300.000 1 0 0 0 0
08.02a 300.000 -79.881 314.073 -29.668 main_survey 300.000 1 0 0 0 0
08.02b 307.059 -79.881 313.692 -30.863 main_survey 300.000 1 0 0 0 0
08.02c 314.118 -79.881 313.134 -32.007 main_survey 300.000 1 0 0 0 0
08.02d 321.176 -79.881 312.401 -33.082 main_survey 300.000 1 0 0 0 0
08.02e 328.235 -79.881 311.500 -34.068 main_survey 300.000 1 0 0 0 0
08.02f 335.294 -79.881 310.441 -34.948 main_survey 300.000 1 0 0 0 0
08.030 342.353 -79.881 309.238 -35.705 main_survey 300.000 1 0 0 0 0
08.031 349.412 -79.881 307.910 -36.323 main_survey 300.000 1 0 0 0 0
08.032 356.471 -79.881 306.481 -36.791 main_survey 300.000 1 0 0 0 0
09.000 0.000 -78.616 306.136 -38.190 main_survey 300.000 1 0 0 0 0
09.001 6.316 -78.616 304.577 -38.428 main_survey 300.000 1 0 0 0 0
09.002 12.632 -78.616 302.989 -38.512 main_survey 300.000 1 0 0 0 0
09.003 18.947 -78.616 301.400 -38.440 main_survey 300.000 1 0 0 0 0
09.004 25.263 -78.616 299.839 -38.212 main_survey 300.000 1 0 0 0 0
09.005 31.579 -78.616 298.331 -37.835 main_survey 300.000 1 0 0 0 0
09.006 37.895 -78.616 296.904 -37.313 main_survey 300.000 1 0 0 0 0
09.007 44.211 -78.616 295.577 -36.658 main_survey 300.000 1 0 0 0 0
09.008 50.526 -78.616 294.371 -35.878 main_survey 300.000 1 0 0 0 0
09.009 56.842 -78.616 293.301 -34.989 main_survey 300.000 1 0 0 0 0
09.00a 63.158 -78.616 292.377 -34.002 main_survey 300.000 1 0 0 0 0
09.00b 69.474 -78.616 291.607 -32.934 main_survey 300.000 1 0 0 0 0
09.00c 75.789 -78.616 290.997 -31.800 main_survey 300.000 1 0 0 0 0
09.00d 82.105 -78.616 290.548 -30.615 main_survey 300.000 1 0 0 0 0
09.00e 88.421 -78.616 290.259 -29.394 main_survey 300.000 1 0 0 0 0
09.00f 94.737 -78.616 290.128 -28.153 main_survey 300.000 1 0 0 0 0
09.010 101.053 -78.616 290.150 -26.908 main_survey 300.000 1 0 0 0 0
09.011 107.368 -78.616 290.322 -25.671 main_survey 300.000 1 0 0 0 0
09.012 113.684 -78.616 290.635 -24.458 main_survey 300.000 1 0 0 0 0
09.013 120.000 -78.616 291.083 -23.281 main_survey 300.000 1 0 0 0 0
09.014 126.316 -78.616 291.658 -22.154 main_survey 300.000 1 0 0 0 0
09.015 132.632 -78.616 292.351 -21.087 main_survey 300.000 1 0 0 0 0
09.016 138.947 -78.616 293.153 -20.093 main_survey 300.000 1 0 0 0 0
09.017 145.263 -78.616 294.055 -19.181 main_survey 300.000 1 0 0 0 0
